Variable,Total_Stand_Carbon
167N_2021_PLSQ,35.02158737
167N_2021_THNB,34.43730164
167N_2025_PLSQ,36.86994934
167N_2025_THNB,35.48227692
167N_2030_PLSQ,36.48382568
167N_2030_THNB,36.57216644
167N_2050_PLSQ,43.43301773
167N_2050_THNB,57.75963593
167S_2021_PLSQ,37.36980438
167S_2021_THNB,36.43877792
167S_2025_PLSQ,43.06770325
167S_2025_THNB,37.13559341
167S_2030_PLSQ,49.11340714
167S_2030_THNB,38.28032303
167S_2050_PLSQ,63.44464874
167S_2050_THNB,62.48551178
505_2021_ASV,55.20212555
505_2021_IFM,52.6163559
505_2021_PLSQ,55.08007813
505_2021_THNB,53.69382095
505_2025_ASV,59.40862656
505_2025_IFM,54.11275101
505_2025_PLSQ,59.40233994
505_2025_THNB,55.10714722
505_2030_ASV,63.405056
505_2030_IFM,57.43001938
505_2030_PLSQ,64.45783234
505_2030_THNB,58.01086426
505_2050_ASV,94.44068146
505_2050_IFM,78.3806076
505_2050_PLSQ,90.43148041
505_2050_THNB,85.73161316
608_2021_AWR,27.27749252
608_2021_PLSQ,45.94468689
608_2025_AWR,21.59488869
608_2025_PLSQ,49.18810272
608_2030_AWR,21.13136482
608_2030_PLSQ,52.37525558
608_2050_AWR,46.70297623
608_2050_PLSQ,67.6099472
999_2021_AWR,4.822155952
999_2021_CAR,4.822155952
999_2021_NAR,4.824862003
999_2021_PLSQ,7.028458118
999_2021_SAR,4.822155952
999_2025_AWR,4.359045982
999_2025_CAR,4.115262508
999_2025_NAR,3.923987389
999_2025_PLSQ,6.92743206
999_2025_SAR,4.186757565
999_2030_AWR,6.590278625
999_2030_CAR,4.938147545
999_2030_NAR,4.108756065
999_2030_PLSQ,7.025497913
999_2030_SAR,5.298998833
999_2050_AWR,30.15179443
999_2050_CAR,23.61334801
999_2050_NAR,19.55592728
999_2050_PLSQ,8.275466919
999_2050_SAR,26.01504898
