Variables,Total Stand Carbon
505_2021_ASV,0
505_2025_ASV,0
505_2030_ASV,0
505_2050_ASV,94.4406814575195
505_2021_IFM,0
505_2025_IFM,0
505_2030_IFM,0
505_2050_IFM,78.3806076049804
999_2021_NAR,0
999_2025_NAR,0
999_2030_NAR,0
999_2050_NAR,19.5559272766113
999_2021_CAR,0
999_2025_CAR,0
999_2030_CAR,0
999_2050_CAR,23.6133480072021
999_2021_SAR,0
999_2025_SAR,0
999_2030_SAR,0
999_2050_SAR,26.0150489807128
167N_2021_THNP,0
167N_2025_THNP,0
167N_2030_THNP,0
167N_2050_THNP,51.6219635009765
167S_2021_THNP,0
167S_2025_THNP,0
167S_2030_THNP,0
167S_2050_THNP,55.9751739501953
505_2021_THNP,0
505_2025_THNP,0
505_2030_THNP,0
505_2050_THNP,78.0643310546875
167N_2021_THNB,0
167N_2025_THNB,0
167N_2030_THNB,0
167N_2050_THNB,57.7596359252929
167S_2021_THNB,0
167S_2025_THNB,0
167S_2030_THNB,0
167S_2050_THNB,62.4855117797851
505_2021_THNB,0
505_2025_THNB,0
505_2030_THNB,0
505_2050_THNB,85.7316131591796
999_2021_AWR,0
999_2025_AWR,0
999_2030_AWR,0
999_2050_AWR,30.1517944335937
608_2021_AWR,0
608_2025_AWR,0
608_2030_AWR,0
608_2050_AWR,46.7029762268066
