tag_1,tag_2,tag_3,value
167N,2021,PLSQ,221277.0
167N,2021,THNB,0.0
167N,2025,PLSQ,221277.0
167N,2025,THNB,0.0
167N,2030,PLSQ,221277.0
167N,2030,THNB,0.0
167N,2050,PLSQ,221277.0
167N,2050,THNB,0.0
167S,2021,PLSQ,197602.0
167S,2021,THNB,0.0
167S,2025,PLSQ,197602.0
167S,2025,THNB,0.0
167S,2030,PLSQ,197602.0
167S,2030,THNB,0.0
167S,2050,PLSQ,197602.0
167S,2050,THNB,0.0
505,2021,ASV,0.0
505,2021,IFM,0.0
505,2021,PLSQ,54907.0
505,2021,THNB,0.0
505,2025,ASV,0.0
505,2025,IFM,0.0
505,2025,PLSQ,54907.0
505,2025,THNB,0.0
505,2030,ASV,0.0
505,2030,IFM,0.0
505,2030,PLSQ,54907.0
505,2030,THNB,0.0
505,2050,ASV,54907.0
505,2050,IFM,0.0
505,2050,PLSQ,0.0
505,2050,THNB,0.0
608,2021,AWR,1000.0
608,2021,PLSQ,117164.0
608,2025,AWR,4000.0
608,2025,PLSQ,114164.0
608,2030,AWR,5000.0
608,2030,PLSQ,113164.0
608,2050,AWR,20000.0
608,2050,PLSQ,98164.0
999,2021,AWR,0.0
999,2021,CAR,0.0
999,2021,NAR,24845.0
999,2021,PLSQ,0.0
999,2021,SAR,0.0
999,2025,AWR,0.0
999,2025,CAR,0.0
999,2025,NAR,24845.0
999,2025,PLSQ,0.0
999,2025,SAR,0.0
999,2030,AWR,0.0
999,2030,CAR,0.0
999,2030,NAR,24845.0
999,2030,PLSQ,0.0
999,2030,SAR,0.0
999,2050,AWR,0.0
999,2050,CAR,0.0
999,2050,NAR,24845.0
999,2050,PLSQ,0.0
999,2050,SAR,0.0
